,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
02CB_01_movie_04_LPI_000.netts,-0.192812641781254,-0.19465372532301944,-0.19314311823333935,-0.17616492528203037,-0.1644046935987995,-0.1717797494059023,-0.17753881782482311,-0.17864225016589474,-0.1737667127836568,-0.15338243230337112,-0.16824219725651574,-0.16793355705423413,-0.1583274833489865,-0.15469900134664516,-0.16020670853490704,-0.15870129746994777,-0.17630280015949573,-0.1657473942359846,-0.15801903314250687,-0.14958256051065527,-0.16252809543193092,-0.1559133520381219,-0.1372551947428291,-0.13026971129953901,-0.13615256284668098,-0.14639972052993266,-0.14684266707072663,0.02569617003620217,0.03683398401208671,0.03509114158292659,0.030286116740098068,0.04349946888833023,0.031017707265649674,0.02950487497316201,0.026415887749353217,0.02810682947873855,0.04095992856936248,0.04240474587888754,0.04972107077129906,0.05295664656055832,0.045031614534692954,0.04344991440013246,0.039112062989656304,0.05457362295985824,0.04259966237455104,0.036295469326437235,0.03569910190709935,0.029245630545126855,0.0384690808944097,0.04149055725462636,0.039168978202022586,0.051330289429911025,0.056157490314088565,0.053273376179434284,0.04041622817649915,0.038257010272993,0.04549550268679625,0.0546533820940468,0.07010527160061142,0.05310679447376465,0.038269844320634405,0.039583421633571314,0.02569419330933187,0.029218172110906715,0.026511318202044665,0.024534479985208524,0.03092215407723864,0.032855777825608556,0.0268741100304829,0.017098059978668645,0.012084870489724286,0.019787611958461904,0.02221236322731346,0.017031151247923426,0.0002965672382901907,0.01137578424671537,0.023171522327577354,0.019237454494452244,0.01733754728627479,0.018960133489481223,0.0199452456295367,0.02467665646652273,0.028463977621745573,0.03365417990312869,0.03833187033369667,0.04833852962717733,0.04869838397113768,0.043707029711266276,0.04611640962377461,0.04616323672283129,0.056218837708538194,0.0609031028288779,0.05170318172602739,0.048753058743309485,0.04696669842482071,0.046951607893645386,0.0498676620191868,0.04673523550649061,0.032630801435637125,0.02576193067804411
04HD_01_movie_04_LPI_000.netts,0.01529011163240035,0.0128003206052415,0.023361249876186874,-0.0001489833565670451,0.0065134752437106536,0.017230364411247645,-0.010310912627852498,0.01374846792604939,0.024494573680022447,0.033659243723904275,0.036761707220299145,0.030281072125778075,0.028288730943134832,0.026419749472388177,0.0211821108000102,0.0029021262601546804,-0.005323470424113852,0.002413919688667887,-0.0080220142516787,0.024796945636146872,0.0472468431525187,0.02903963929091702,0.018404812622275002,0.011933161208127652,0.0016123788347141566,0.01274607669770772,0.0008099635311031306,0.0031698355158196745,0.006719865420402316,0.013792904139234341,0.025761277857530185,0.008647420328013133,-0.0005360174847065524,0.002079731078553193,0.02399305650662642,0.045966725768815664,0.013164062820063771,0.011319048461710834,0.014264379515101788,0.013927194654398567,0.03391245945154664,0.026542494022799457,0.010600165651129367,0.006426897696424072,-0.0030961656009949046,0.003180352502889894,-0.016012462095579882,-0.004182475116206785,0.010163733290062427,0.007405267579410402,0.01366026953396593,-0.001263129873118496,-0.00586482582665554,-0.0039299770332862916,0.00900215018135464,0.026806918019370407,0.0040694128218649595,-0.0032680437084031677,0.006945274564370718,0.0086796007528398,0.027881748452827038,0.010471158494573918,-0.0022349222875158725,0.0010934599072625617,-0.007982869544445603,-0.009875478015738959,-0.027125674305974956,-0.026077681581935408,-0.023523209234594,-0.024071309716376443,-0.008971771216117364,-0.020502594849790723,-0.026226297430363754,-0.03174923766892168,-0.043765888800055,-0.02761633941927094,-0.02645527595522984,-0.02295072708290291,-0.025731375728914874,-0.02337719328123844,-0.019637809501193926,-0.03579684356808871,-0.034883078626981756,-0.029508849076455124,-0.022086329017872497,-0.01739738759566689,-0.02861016534121974,-0.03483892551837264,-0.03009553029020451,-0.03177546364204964,-0.029327949442850998,-0.02886046131064357,-0.04856879312151813,,,,,,,
04SG_01_movie_04_LPI_000.netts,-0.08764800681341917,-0.07713549409193354,-0.07890099314012561,-0.07825923347299629,-0.07008622587518692,-0.06701278408592837,-0.0679360186391042,-0.07808015170328547,-0.07563706513602453,-0.0702418957101511,-0.05969465979509675,-0.03293392952554214,-0.03608259027369154,-0.033706300762798846,-0.03841437636365097,-0.04527304255675996,-0.03838229562034756,-0.03900650756300339,-0.03179748099415225,-0.01413640030188823,-0.013543102541995311,-0.0021154680967109263,-0.002706698337155977,0.012199183510819944,0.018743227151778008,0.018303921276316748,0.027662969493819967,0.02531800973412046,0.023914532170431935,0.038984709951895846,0.0508016714236863,0.058580924514406996,0.053709701937817766,0.05439812667769006,0.05079684238781579,0.050863765375161574,0.056198684623718576,0.045722921391723514,0.03698641199432795,0.034464237506203754,0.041010605146357126,0.04037253654770878,0.03026476935522282,0.027875858113068475,0.026624956596448257,0.028610158106296746,0.03333371359497628,0.026256304278004627,0.019571914862343776,0.015278134862044879,0.021687358781631638,0.03786427100865142,0.03402945766123644,0.02691053051946679,0.03054472746445913,0.033360118737680966,0.03708572239534136,0.03635476849565977,0.0346454558422391,0.036548335259306786,0.04052451592669981,0.052908406514602824,0.044040137227346676,0.036780172576014736,0.037956188929881396,0.03090199937220528,0.02174976738979073,0.007442589776642916,0.0032036762435927457,0.007350744847911095,0.00010360517049179396,-0.004050831314369674,-0.012417375794130603,-0.015145566487589357,-0.00608723168801506,-0.00495369490870301,0.002697295665985644,-0.009981900717892844,-0.014665520382169395,-0.013057667996416833,-0.011537590863347713,-0.00611389545911778,-0.01694623727000555,-0.02183793983605886,-0.022166385051162196,-0.0258600905112783,-0.02220068539066128,-0.026895665102893263,-0.024302078257679882,-0.029884352353924837,-0.0400032622668684,-0.04348782673145579,-0.05121211860636116,,,,,,,
08BC_01_movie_04_LPI_000.netts,-0.023007805182086283,-0.010249708469005525,-0.023082296351937148,-0.00015798206698175443,-0.0015785575802500507,-0.0013699079078817178,-0.0017420618530858412,-0.015929671688272362,-0.013453323000409523,-0.008312855652861051,-0.0005056090414738423,-0.004553557744505665,-0.014641734799778094,-0.0021909206182296193,-0.0031143704441721765,0.002973172397914836,0.006663416987838566,0.003551965474328622,0.013956671372376939,0.011448025788608152,0.0032425692860839073,0.004842013819547297,0.0055410698804458924,0.02324932256017953,0.02775191167529434,0.015160430556637294,0.0024478741422804817,0.003061918459395241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08VR_01_movie_04_LPI_000.netts,0.01967921070828038,0.026042087286269888,0.031313532892118134,0.02622692248334957,0.0178600095824748,0.022693463691698,0.015706057045319133,0.011403032215189235,0.012428728566897251,-0.0015815379611405778,0.004178357628508489,0.013277102068228297,0.017228572749675375,0.017087798724959025,0.016783472956160228,0.01257800990957747,0.011361823549234651,0.009498984646195141,-0.006443159394177833,-0.014778440136528181,0.0009706088872977192,-0.00280622711951084,-0.005123193924420066,-0.01025474687417216,-0.03998668281599188,-0.057265548719838855,-0.07105836213422706,-0.07701987651142272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10JR_01_movie_04_LPI_000.netts,-0.07008599343676919,-0.0675470720452,-0.048478595742724395,-0.04785341326355297,-0.04630774999546372,-0.05203524496783618,-0.05757713004919951,-0.043909218522681814,-0.045927104860530754,-0.03743406007308814,-0.0390919799284426,-0.042198867272557616,-0.03639368946352961,-0.032247654973786455,-0.02609579983589716,-0.01919914125532951,-0.023596277176882507,-0.020261945586847574,-0.0316442419528441,-0.02729290064558243,-0.032517998128867354,-0.03176018723223306,-0.015811837319731015,-0.014469430076147427,-0.007391175473514089,-0.009129710037991345,-0.015531278667394899,-0.011027202920578572,-0.010458593819750894,-0.0036759782901423232,-0.013374784925539451,-0.00960564505951167,0.0005532099296658988,-0.00737684210231726,-0.0014026947073386697,-0.010356654215393335,-0.024287452247307884,-0.009885387625142794,-0.023544024614630454,-0.025908969548064764,-0.030571429086848956,-0.03685498659417852,-0.03168144383958027,-0.021061851615397753,-0.005939936803688872,-0.008704143824140753,-0.003134521241897059,0.0029512821789985377,-0.006134044801304195,0.002173587700635027,0.009557303734998412,0.016493266458265543,0.031556249033407924,0.04547020595823925,0.04588018523361048,0.04730889017131168,0.04234269946375313,0.04245541513455542,0.03795607899246767,0.050921854202067296,0.05266177179391163,0.05100738398935911,0.04398927445530865,0.02841636676988213,0.025484580225839992,0.02457226632777776,0.011189831835087483,0.0204807810536618,0.020542586154720932,0.012359783142873115,0.004151237007323116,0.008222380854164935,0.013591970138601916,0.017640613869527977,0.02084830657366321,0.026815062236273945,0.026514427181696498,0.026866184360810785,0.016100888065559205,0.020612220038855433,0.024202677457675348,0.02841060260774475,0.02303892398898566,0.033680332654382195,0.036122043236326284,0.03722229808852762,0.03453583868454946,0.03526241383037665,0.03609938030738957,0.03843020738443126,0.027772814465491957,0.018776803989909885,0.015533804904704795,,,,,,,
13CA_01_movie_04_LPI_000.netts,-0.016041986344771997,-0.013971738683627555,-0.013401006599538468,0.007561600582643546,0.0036104968746805133,0.014291452001177152,0.02416849783216718,0.010484586643328353,0.03954081783550362,0.034879503104134346,0.03165121542617405,0.03219805134509396,0.016912920377332274,0.0018299680674824237,-0.00962316178558903,0.0011136224917220328,0.0018359727713167517,-0.036734967100925775,-0.018242604323157885,-0.033436780814389555,-0.03668371465345682,-0.020306433244322186,-0.013514612699889628,-0.00812169910308752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16RA_01_movie_04_LPI_000.netts,0.040928345125256116,0.03243338793427941,0.03906325403314226,0.038826938704572767,0.030262518095281576,0.025412431921260525,0.019579978307074697,0.02450567599571296,0.009847412211550055,0.01876288661849035,0.015523012302163686,-0.009609474880727609,-0.011914295820540266,-0.009906997917052629,-0.0042364803596603995,0.00668746713556756,0.00633946678638575,0.010170611980503175,-0.006831888041593848,-0.013871912681146181,-0.009691721973936418,-0.01646546008308669,-0.01870968953397245,-0.02142247818952736,-0.03120072928773221,-0.03169572848494229,-0.04475773227050028,-0.03188918804267793,-0.018336974374682846,-0.010079665480316136,-0.01558840049702337,-0.02923930966009869,-0.04128365816150681,-0.055206366461511114,-0.05085120661432585,-0.038420260314740995,-0.05444159231658019,-0.06248228798567479,-0.06898095040500674,-0.06107906849142053,-0.05609466573854405,-0.06198296119156321,-0.059049641027164035,-0.06103917894074795,-0.06721208059531025,-0.052244201547371305,-0.04908733137606491,-0.046741498760934475,-0.0468473315917749,-0.029209242547528325,-0.020002827810197688,-0.02038329624707813,-0.006640811007823433,-0.013764688504050215,-0.01725369003849353,-0.0004965489589687788,0.009091883256129418,0.01438767305863542,0.022216376728465992,0.026781831070265327,0.03197486266350047,0.028898841163730538,0.0223705575496419,0.02448389910017501,0.030929880465870307,0.03494749361783556,0.03181595348432209,0.019366418101234406,0.011869957125215325,0.019544219083684866,0.03841987802865432,0.035670617846227715,0.02443500308928559,0.02632313212466153,0.035188475952948606,0.04440361715739649,0.034998367854446655,0.023787155133079607,0.018948063513584024,0.019286971623687532,0.026447029017710455,0.031094131796496005,0.030137800917138913,0.028522594280335545,0.03606329801325514,0.034287863059082935,0.024272757936058098,0.0246310470434562,0.03123366015941964,0.027908392476488353,0.04224489351216487,0.04616500239956611,0.04475052765850862,,,,,,,
17EK_01_movie_04_LPI_000.netts,-0.058218239122580284,-0.04632911031925924,-0.0468535284228464,-0.04055101478529466,-0.0402653457624117,-0.04786793007455403,-0.037961163274872756,-0.03436182660821563,-0.03520190924236388,-0.04492118490464991,-0.04347496452868549,-0.034402283542173895,-0.03994729579324152,-0.03128753449473465,-0.03719497217538292,-0.03872906698681833,-0.04039752802121954,-0.03827111620772372,-0.03921015497001712,-0.0452149568871556,-0.0455624676178058,-0.04622021000999954,-0.04551215579264678,-0.040422292190550047,-0.020277812197725065,-0.0074274940227520014,-0.020312654508026662,-0.02611573957140234,-0.030394834044215835,-0.03230423558488715,-0.033419831522150445,-0.015144895610054165,-0.010040850633481035,-0.0055760099213120196,-0.010464718586659094,-0.014081517744754857,-0.009693480524418874,-0.013505521094209438,-0.023100331422476472,-0.023427149807791592,-0.022104683978225736,-0.02170784225455058,-0.017585362727790876,-0.00012286397030236706,-0.004276284889791149,0.004458069356544803,0.010943341258878414,0.012224695791504092,0.007457139083703268,0.01184872088778377,0.01510254302281655,0.01804090296824823,0.022313403102992013,0.030227482342341072,0.026580570476349874,0.02933206203581884,0.02713244048075447,0.03156259939195705,0.02068741339390623,0.015301075986278945,0.010425130554254869,0.010312165520441785,0.0027928161416747033,0.004616081624996493,0.006277659065655583,0.010644264825203642,0.012347145074586119,0.014424958885847494,0.01729369822602489,0.01997574762792731,0.020971040079329928,0.027710153103349122,0.027501080618959173,0.031690106551823694,0.04334843674868494,0.04634506521920001,0.04824418310842504,0.049980480746734,0.049833575634831706,0.046239327654420626,0.04033497370275041,0.05252352768917079,0.060528542199544955,0.06570113946625289,0.06732088705385608,0.061235146550557396,0.061583681921998035,0.05047319438145359,0.044759422656225234,0.03953692620930471,0.021053485241342762,0.005075513895204109,0.005150348792272497,,,,,,,
19AK_01_movie_04_LPI_000.netts,0.04880479515224001,0.05506060665489565,0.04292732996212345,0.04853665395607243,0.05898972426851434,0.06178368059138717,0.08056410074215903,0.07246434237062072,0.0596364707022593,0.05335465351694191,0.04384424771865714,0.05112443341784134,0.0507056734097161,0.05422779617650342,0.051925720645810025,0.03914060244001227,0.037509173095471304,0.03038849721468595,0.032635939274708425,0.03298069951993088,0.031058494346007715,0.03450234053159784,0.024873505004483376,0.020215020741984557,0.020141555284815316,0.027499375407037285,0.02978368206597315,0.032786611430436485,0.037732461705741516,0.02903212052218529,0.03064613600673194,0.03449253513881523,0.03521940734966811,0.03438531280515278,0.03287532779569202,0.029427100617818946,0.014231801335475303,0.008286665573903007,0.013836426465244966,0.012770126945560234,0.010827535558896262,0.004402634926411464,-0.0026982252668507067,-0.009268851264368161,-0.01848012337463467,-0.012491177128932773,-0.002344231301314559,0.0003644418902037927,-0.00024637517640224704,-0.014042356323624494,-0.025201070105390633,-0.03305173939923389,-0.033898278368400425,-0.021909740076213158,-0.023264821301407612,-0.015893948556952253,-0.013599040239797966,-0.007973500270305967,0.004485840083825909,-0.010868693272452434,-0.01651828136118827,-0.02126754095366512,-0.015874992738824978,-0.01430961230193395,-0.03631465964595215,-0.04888124843231639,-0.05543190746027382,-0.051596169218181664,-0.05189148271103866,-0.06243842190260529,-0.05710429244814075,-0.05160428000646855,-0.06964016199283912,-0.06122934119230711,-0.05740201148175583,-0.044609259868694406,-0.03798737042026179,-0.0398035496985607,-0.03564899636486252,-0.0390679568076574,-0.039974247090335424,-0.03469081300889432,-0.03679231070700528,-0.038692339190931735,-0.05144983491873306,-0.03753594063631349,-0.027904981566550524,-0.03232437737763849,-0.030171753763539533,-0.027293120573916974,-0.040913823996314935,-0.019636484294681122,-0.02924786480555064,,,,,,,
